label,linewidth,density,lineheight
0KDBOLIDDA,0.17316,0.35256,0.19306
0KDBOLIDDA,0.1013,0.4809,0.55219
0KDBOLIDDA,0.10649,0.45246,0.4965
0KDBOLIDDA,0.1039,0.59345,0.43902
0KDBOLIDDA,0.1039,0.59536,0.43902
0KDBOLIDDA,0.098124,0.49076,0.47576
0KDBOLIDDA,0.1029,0.50922,0.51399
0KDBOLIDDA,0.1039,0.45584,0.47886
0KDBOLIDDA,0.10173,0.50999,0.52525
0KDBOLIDDA,0.10649,0.42607,0.57386
0KDBOLIDDA,0.10173,0.47864,0.55682
0KDBOLIDDA,0.098124,0.55469,0.49818
0KDBOLIDDA,0.1,0.4726,0.64706
0KDBOLIDDA,0.097403,0.51515,0.53333
0KDBOLIDDA,0.1026,0.44132,0.56229
0KDBOLIDDA,0.10146,0.50796,0.58245
0KDBOLIDDA,0.1013,0.52078,0.57323
0KDBOLIDDA,0.1039,0.42803,0.46503
0KDBOLIDDA,0.10173,0.53409,0.45722
0KDBOLIDDA,0.10519,0.55348,0.42078
0KDBOLIDDA,0.09833,0.54995,0.48209
0KDBOLIDDA,0.10234,0.52276,0.48043
0KDBOLIDDA,0.10132,0.55351,0.47453
0KDBOLIDDA,0.10234,0.55341,0.52341
0KDBOLIDDA,0.095142,0.47689,0.57692
0KDBOLIDDA,0.099415,0.46757,0.53453
0KDBOLIDDA,0.097744,0.50287,0.49802
0KDBOLIDDA,0.10526,0.54025,0.47606
0KDBOLIDDA,0.12848,0.56265,0.44642
0KDBOLIDDA,0.11404,0.47993,0.38225
0KDBOLIDDA,0.10789,0.5451,0.41795
0KDBOLIDDA,0.099415,0.46757,0.53453
0KDBOLIDDA,0.10185,0.54022,0.44108
0KDBOLIDDA,0.097403,0.49099,0.65152
0KDBOLIDDA,0.10575,0.5376,0.55024
0KDBOLIDDA,0.12208,0.53157,0.51173
0KDBOLIDDA,0.099567,0.42243,0.60606
0KDBOLIDDA,0.12338,0.49772,0.63175
0KDBOLIDDA,0.10173,0.46195,0.55682
0KDBOLIDDA,0.11132,0.48935,0.50791
0KDBOLIDDA,0.10227,0.48684,0.45248
0KDBOLIDDA,0.10065,0.50189,0.48295
0KDBOLIDDA,0.10466,0.52882,0.5
0KDBOLIDDA,0.099567,0.42243,0.60606
0KDBOLIDDA,0.11317,0.51417,0.55285
0KDBOLIDDA,0.10153,0.50449,0.50587
0KDBOLIDDA,0.12013,0.5188,0.54242
0KDBOLIDDA,0.1039,0.46349,0.57386
0KDBOLIDDA,0.11688,0.52073,0.541
0KDBOLIDDA,0.10649,0.43687,0.48182
0KDBOLIDDA,0.097993,0.46829,0.57692
0KDBOLIDDA,0.1009,0.4741,0.52545
0KDBOLIDDA,0.1039,0.48864,0.50826
0KDBOLIDDA,0.10552,0.47962,0.43874
0KDBOLIDDA,0.096475,0.54203,0.52727
0KDBOLIDDA,0.1098,0.48026,0.56689
0KDBOLIDDA,0.13514,0.5443,0.63858
0KDBOLIDDA,0.11351,0.47983,0.4733
0KDBOLIDDA,0.10187,0.48571,0.44762
0KDBOLIDDA,0.10291,0.52868,0.43615
0KDBOLIDDA,0.11486,0.29038,0.41071
0KDBOLIDDA,0.10565,0.46664,0.51111
0KDBOLIDDA,0.1027,0.47989,0.61905
0KDBOLIDDA,0.10461,0.56812,0.47187
0KDBOLIDDA,0.10197,0.44765,0.55435
0KDBOLIDDA,0.098684,0.52831,0.46522
0KDBOLIDDA,0.10088,0.55543,0.52685
0KDBOLIDDA,0.10526,0.45606,0.51087
0KDBOLIDDA,0.11447,0.52123,0.41184
0KDBOLIDDA,0.093985,0.51676,0.47453
0KDBOLIDDA,0.11538,0.52981,0.61739
0KDBOLIDDA,0.10819,0.57226,0.49881
0KDBOLIDDA,0.099624,0.48004,0.62876
0KDBOLIDDA,0.11032,0.6045,0.41739
0KDBOLIDDA,0.1039,0.47147,0.45187
0KDBOLIDDA,0.097902,0.55529,0.51278
0KDBOLIDDA,0.1098,0.47972,0.48864
0KDBOLIDDA,0.096475,0.52944,0.72078
0KDBOLIDDA,0.097403,0.50852,0.65152
0KDBOLIDDA,0.099379,0.53816,0.5137
0KDBOLIDDA,0.097403,0.51726,0.53209
0KDBOLIDDA,0.097744,0.56371,0.49616
0KDBOLIDDA,0.10823,0.38636,0.53247
0KDBOLIDDA,0.11039,0.31721,0.40341
0KDBOLIDDA,0.097403,0.50045,0.64876
0KDBOLIDDA,0.12397,0.53575,0.44545
0KDBOLIDDA,0.10526,0.47633,0.51087
0KDBOLIDDA,0.10294,0.45643,0.50371
0KDBOLIDDA,0.11404,0.5256,0.37757
0KDBOLIDDA,0.093117,0.52577,0.52174
0KDBOLIDDA,0.11634,0.50212,0.42707
0KDBOLIDDA,0.089181,0.50114,0.54545
0KDBOLIDDA,0.11294,0.54057,0.44118
0KDBOLIDDA,0.10526,0.53872,0.42285
0KDBOLIDDA,0.099624,0.54073,0.62876
0KDBOLIDDA,0.12679,0.49619,0.39441
0KDBOLIDDA,0.099415,0.48639,0.44928
0KDBOLIDDA,0.1038,0.60688,0.6659
0KDBOLIDDA,0.099415,0.49175,0.53453
0KDBOLIDDA,0.11372,0.52786,0.50296
0KDBOLIDDA,0.087719,0.45761,0.61957
0KDBOLIDDA,0.096711,0.53997,0.45445
0KDBOLIDDA,0.10913,0.5214,0.44513
0KDBOLIDDA,0.097488,0.49832,0.47015
0KDBOLIDDA,0.1062,0.48557,0.51234
0KDBOLIDDA,0.087171,0.43364,0.50114
0KDBOLIDDA,0.12321,0.53873,0.39441
0KDBOLIDDA,0.10272,0.46522,0.49449
0KDBOLIDDA,0.094968,0.55573,0.53594
0KDBOLIDDA,0.11472,0.51186,0.40431
0KDBOLIDDA,0.096903,0.60964,0.63287
0KDBOLIDDA,0.098124,0.52066,0.58264
0KDBOLIDDA,0.09833,0.42829,0.44364
0KDBOLIDDA,0.096104,0.56001,0.48539
0KDBOLIDDA,0.095238,0.47727,0.64394
0KDBOLIDDA,0.1039,0.46165,0.45187
0KDBOLIDDA,0.1044,0.52198,0.47172
0KDBOLIDDA,0.10526,0.48168,0.51087
0KDBOLIDDA,0.095395,0.5015,0.57246
0KDBOLIDDA,0.11278,0.54359,0.40849
0KDBOLIDDA,0.11244,0.52244,0.52174
0KDBOLIDDA,0.096953,0.49784,0.49399
0KDBOLIDDA,0.10362,0.44303,0.48696
0KDBOLIDDA,0.10121,0.48503,0.48024
0KDBOLIDDA,0.098684,0.50483,0.46522
0KDBOLIDDA,0.099415,0.47936,0.53453
0KDBOLIDDA,0.10965,0.48573,0.36673
0KDBOLIDDA,0.1039,0.54494,0.51039
0KDBOLIDDA,0.099567,0.4979,0.54836
0KDBOLIDDA,0.1013,0.45268,0.54377
0KDBOLIDDA,0.096104,0.52448,0.45707
0KDBOLIDDA,0.16234,0.45455,0.49273
0KDBOLIDDA,0.10761,0.54089,0.47727
0KDBOLIDDA,0.10862,0.41694,0.42803
0KDBOLIDDA,0.11039,0.31721,0.40341
0KDBOLIDDA,0.10626,0.51802,0.52955
0KDBOLIDDA,0.10035,0.52898,0.54909
0KDBOLIDDA,0.11169,0.52498,0.45122
0KDMANEL,0.12,0.30087,0.28205
0KDMANEL,0.13333,0.35095,0.26164
0KDMANEL,0.12963,0.32107,0.3617
0KDMANEL,0.12,0.33931,0.27027
0KDMANEL,0.11569,0.31281,0.29302
0KDMANEL,0.10256,0.3348,0.3
0KDMANEL,0.15,0.32542,0.30788
0KDMANEL,0.11111,0.32539,0.33896
0KDMANEL,0.12778,0.33606,0.30303
0KDMANEL,0.12222,0.32099,0.31692
0KDMANEL,0.12778,0.33606,0.30303
0KDMANEL,0.11818,0.30727,0.29853
0KDMANEL,0.10333,0.31191,0.27922
0KDMANEL,0.12097,0.34152,0.3157
0KDMANEL,0.1371,0.33487,0.30536
0KDMANEL,0.13333,0.32293,0.28077
0KDMANEL,0.1349,0.34336,0.29752
0KDMANEL,0.12903,0.25727,0.26877
0KDMANEL,0.10645,0.26152,0.26696
0KDMANEL,0.125,0.32828,0.29326
0KDMANEL,0.10645,0.28633,0.28217
0KDMANEL,0.08871,0.27706,0.23182
0KDMANEL,0.13548,0.36022,0.31587
0KDMANEL,0.12545,0.31854,0.3617
0KDMANEL,0.11521,0.33074,0.32802
0KDMANEL,0.11559,0.33626,0.32705
0KDMANEL,0.15207,0.33834,0.35977
0KDMANEL,0.13043,0.32971,0.31858
0KDMANEL,0.1349,0.33582,0.28364
0KDMANEL,0.10036,0.3011,0.3073
0KDMANEL,0.096774,0.29055,0.36
0KDMANEL,0.15591,0.33284,0.27273
0KDMANEL,0.14286,0.30536,0.32025
0KDMANEL,0.11885,0.31553,0.31515
0KDMANEL,0.1261,0.35678,0.32208
0KDMANEL,0.13364,0.34803,0.34249
0KDMANEL,0.11954,0.34352,0.30076
0KDMANEL,0.12323,0.33312,0.30138
0KDMANEL,0.11389,0.30668,0.30955
0KDMANEL,0.10333,0.32019,0.27922
0KDMANEL,0.10833,0.34641,0.2704
0KDMANEL,0.15,0.33058,0.29726
0KDMANEL,0.12,0.34416,0.27027
0KDMANEL,0.11667,0.32061,0.30352
0KDMANEL,0.23333,0.2697,0.43182
0KDMANEL,0.10714,0.31703,0.28355
0KDMANEL,0.14167,0.23816,0.26573
0KDMANEL,0.11754,0.30392,0.30579
0KDMANEL,0.12727,0.33912,0.24378
0KDMANEL,0.14,0.39103,0.25962
0KDMANEL,1.75,0.4881,0.66667
0KDMANEL,0.13333,0.33884,0.32938
0KDMANEL,0.1,0.29885,0.29175
0KDMANEL,0.13333,0.24738,0.26877
0KDMANEL,0.12889,0.31155,0.28235
0KDMANEL,0.11333,0.31432,0.32702
0KDMANEL,0.14444,0.31276,0.33462
0KDMANEL,0.11389,0.30668,0.30955
0KDMANEL,0.13333,0.31954,0.24531
0KDMANEL,0.14386,0.34336,0.32191
0KDMANEL,0.10833,0.26494,0.27273
0KDMANEL,0.18333,0.33424,0.32258
0KDMANEL,0.14333,0.33128,0.2861
0KDMANEL,0.13,0.33952,0.26786
0KDMANEL,0.11333,0.34839,0.33697
0KDMANEL,0.13509,0.33706,0.29091
0KDMANEL,0.12333,0.33766,0.33109
0KDMANEL,0.14167,0.24156,0.26573
0KDMANEL,0.10222,0.31576,0.27045
0KDMANEL,0.10952,0.30281,0.27476
0KDMANEL,0.11852,0.33745,0.27083
0KDMANEL,0.11333,0.33333,0.31907
0KDMANEL,0.11333,0.2931,0.25207
0KDMANEL,0.12778,0.30795,0.30568
0KDMANEL,0.12222,0.32449,0.30958
0KDMANEL,0.11667,0.33122,0.33949
0KDMANEL,0.16111,0.32756,0.27273
0KDMANEL,0.13333,0.32132,0.34065
0KDMANEL,0.10333,0.30925,0.27922
0KDMANEL,0.13333,0.3039,0.25874
0KDMANEL,0.14762,0.3315,0.28763
0KDMANEL,0.13333,0.3386,0.2961
0KDMANEL,0.1,0.29055,0.36
0KDMANEL,0.14848,0.33723,0.31965
0KDMANEL,0.12857,0.36178,0.33404
0KDMANEL,0.12963,0.32107,0.3617
0KDMANEL,0.12619,0.3361,0.30559
0KDMANEL,0.12917,0.30379,0.29091
0KDMANEL,0.12381,0.24955,0.26794
0KDMANEL,0.13333,0.3042,0.30976
0KDMANEL,0.10303,0.31243,0.29268
0KDMANEL,0.14,0.35391,0.30053
0KDMANEL,0.14167,0.35537,0.31975
0KDMANEL,0.13333,0.33478,0.28182
0KDMANEL,0.13,0.32943,0.26786
0KDMANEL,0.12727,0.32913,0.33026
0KDMANEL,0.14167,0.24156,0.26573
0KDMANEL,0.12778,0.30957,0.30568
0KDMANEL,0.11333,0.34839,0.33697
0KDMANEL,0.12549,0.3621,0.33754
0KDMANEL,0.14848,0.34349,0.31965
0KDMANEL,0.14074,0.33127,0.2884
0KDMANEL,0.14074,0.32878,0.28636
0KDMANEL,0.11429,0.3322,0.31119
0KDMANEL,0.12857,0.34648,0.33004
0KDMANEL,0.14167,0.23816,0.26573
0KDMANEL,0.13509,0.32579,0.30096
0KDMANEL,0.11333,0.31639,0.32702
0KDMANEL,0.12889,0.33385,0.27083
0KDMANEL,0.15,0.24211,0.13067
0KDMANEL,0.11852,0.3315,0.29545
0KDMANEL,0.11667,0.27646,0.275
0KDMANEL,0.10952,0.31489,0.29644
0KDMANEL,0.13725,0.32991,0.29484
0KDMANEL,0.15,0.27397,0.2884
0KDMANEL,0.1,0.29545,0.32347
0KDMANEL,0.11818,0.30283,0.30592
0KDMANEL,0.13333,0.35559,0.38266
0KDMANEL,0.125,0.33205,0.30303
0KDMANEL,0.13333,0.32853,0.28409
0KDMANEL,0.23333,0.261,0.43182
0KDMANEL,0.11212,0.26364,0.25782
0KDMANEL,0.13333,0.33504,0.32938
0KDMANEL,0.13333,0.29452,0.26826
0KDMANEL,0.12857,0.34894,0.29714
0KDMANEL,0.16154,0.31278,0.31385
0KDMANEL,0.13333,0.31958,0.28209
0KDMANEL,0.10833,0.2803,0.27512
0KDMANEL,0.13333,0.31882,0.32879
0KDMANEL,0.17037,0.32009,0.26551
0KDMANEL,0.11667,0.33556,0.37741
0KDMANEL,0.23333,0.2697,0.43182
0KDMANEL,0.13333,0.32132,0.34065
0KDMANEL,0.13,0.31544,0.30303
0KDMANEL,0.12778,0.30357,0.29461
0KDMANEL,0.16667,0.31579,0.28355
0KDMANEL,0.14762,0.31818,0.25692
0KDMANEL,0.17037,0.33471,0.33058
0KDMANEL,0.11389,0.33852,0.31364
0KDMANEL,0.1381,0.31672,0.26446
0KDMANEL,0.1375,0.33913,0.29228
0KDMANEL,0.13125,0.32767,0.29482
0KDMANEL,0.12381,0.283,0.2943
0KDMANEL,0.09697,0.3088,0.27273
0KDMANEL,0.10833,0.25936,0.27273
0KDMANEL,0.14167,0.23816,0.26573
0KDMANEL,0.13704,0.32351,0.27137
0KDMANEL,0.10952,0.36606,0.30455
0KDMANEL,0.11667,0.34596,0.36364
0KDMANEL,0.13704,0.30789,0.26393
0KDMANEL,0.11818,0.3319,0.32678
0KDMANEL,0.13333,0.24738,0.26877
0KDMANEL,0.13333,0.25473,0.26877
0KDMANEL,0.12857,0.3192,0.32035
0KDMANEL,0.13137,0.32727,0.28977
0KDMANEL,0.13333,0.33377,0.2961
0KDMANEL,0.17407,0.37747,0.29091
0KDMANEL,0.13889,0.32795,0.30727
0KDMANEL,0.12143,0.31717,0.32531
0KDMANEL,0.13778,0.33636,0.3199
0KDMANEL,0.13333,0.33377,0.2961
0KDMANEL,0.11333,0.2931,0.25207
0KDMANEL,0.14167,0.23816,0.26573
0KDMANEL,0.14167,0.35737,0.26886
0KDMANEL,0.1381,0.32146,0.33038
0KDMANEL,0.10599,0.32699,0.32664
0KDMANEL,0.10323,0.28041,0.27557
0KDMANEL,0.13548,0.29768,0.33471
0KDMANEL,0.096774,0.31707,0.29175
0KDMANEL,0.1371,0.34716,0.32429
0KDMANEL,0.11982,0.25712,0.26794
0KDMANEL,0.12545,0.31259,0.28687
0KDMANEL,0.12903,0.32583,0.31238
0KDMANEL,0.12903,0.24978,0.26877
0KDMANEL,0.1173,0.33053,0.27674
0KDMANEL,0.10484,0.27895,0.2801
0KDMANEL,0.12903,0.33518,0.28316
0KDMANEL,0.1371,0.23816,0.26573
0KDMANEL,0.10968,0.30481,0.31364
0KDMANEL,0.15556,0.33493,0.31715
0KDMANEL,0.1,0.29919,0.32347
0KDMANEL,0.13333,0.24738,0.26877
0KDMANEL,0.13333,0.31716,0.30532
0KDMANEL,0.13333,0.28646,0.26399
0KDMANEL,0.14667,0.32802,0.34745
0KDMANEL,0.12222,0.31848,0.28984
0KDMANEL,0.23333,0.2697,0.43182
0KDMANEL,0.13333,0.24738,0.26877
0KDMANEL,0.11852,0.31725,0.3325
0KDMANEL,0.15,0.32962,0.30788
0KDMANEL,0.17407,0.36555,0.29091
0KDMANEL,0.13833,0.34122,0.30163
0KDMANEL,0.10714,0.30769,0.29201
0KDMANEL,0.12222,0.312,0.24907
0KDMANEL,0.13556,0.33755,0.31693
0KDMANEL,0.14,0.28555,0.31494
0KDMANEL,0.13333,0.31929,0.25795
0KDMANEL,0.12857,0.31863,0.2876
0KDMANEL,0.10667,0.28936,0.31818
0KDMANEL,0.12778,0.33516,0.35354
0KDMANEL,0.13778,0.34488,0.3001
0KDMANEL,0.12778,0.32927,0.29837
0KDMANEL,0.1,0.28825,0.32347
0KDMANEL,0.11212,0.26364,0.25782
0KDMANEL,0.1375,0.32435,0.32615
0KDMANEL,0.17407,0.38162,0.29091
0KDMANEL,0.14583,0.3253,0.2738
0KDMANEL,0.1,0.24242,0.27273
0KDMANEL,0.23333,0.2697,0.43182
0KDMANEL,0.10667,0.32767,0.36147
0KDMANEL,0.13636,0.33148,0.32075
0KDMANEL,0.11333,0.32637,0.32323
0KDMANEL,0.21111,0.36806,0.63636
0KDMANEL,0.15417,0.34759,0.29738
0KDMANEL,0.14035,0.33429,0.32756
0KDMANEL,0.15,0.32941,0.29888
0KDMANEL,0.16111,0.33284,0.27273
0KDMANEL,0.11053,0.32939,0.28636
0KDMANEL,0.11,0.3259,0.27922
0KDMANEL,0.16389,0.31085,0.23929
0KDMANEL,0.14,0.27497,0.31494
0KDMANEL,0.13333,0.32764,0.31818
0KDMANEL,0.14762,0.32175,0.28763
0KDMANEL,0.14167,0.23816,0.26573
0KDMANEL,0.11852,0.3315,0.29665
0KDMANEL,0.14286,0.33873,0.26653
0KDMANEL,0.13333,0.37007,0.32492
0KDMANEL,0.14919,0.35721,0.29937
0KDMANEL,0.13825,0.33415,0.26653
0KDMANEL,0.1261,0.35678,0.32078
0KDMANEL,0.1371,0.3614,0.32334
0KDMANEL,0.13978,0.29032,0.25758
0KDMANEL,0.11521,0.31543,0.27569
0KDMANEL,0.16774,0.361,0.31935
0KDMANEL,0.11166,0.32937,0.32626
0KDMANEL,0.12097,0.3149,0.26612
0KDMANEL,0.11828,0.31848,0.28984
0KDMANEL,0.12903,0.24738,0.26877
0KDMANEL,0.1147,0.31725,0.3325
0KDMANEL,0.13548,0.31996,0.38803
0KDMANEL,0.14333,0.34903,0.2861
0KDMANEL,0.13148,0.32391,0.2986
0KDMANEL,0.11905,0.338,0.33788
0KDMANEL,0.17222,0.35133,0.33712
0KDMANEL,0.12778,0.33516,0.35354
0KDMANEL,0.12,0.34474,0.29115
0KDMANEL,0.11333,0.3386,0.2782
0KDMANEL,0.12564,0.33682,0.31052
0KDMANEL,0.1,0.28825,0.32347
0KDMANEL,0.10714,0.31176,0.3017
0KDMANEL,0.11754,0.30576,0.30579
0KDMANEL,0.10741,0.29545,0.29545
0KDMANEL,0.12121,0.2991,0.31621
0KDMANEL,0.23333,0.2697,0.43182
0KDMANEL,0.10714,0.31504,0.28355
0KDMANEL,0.11212,0.26364,0.25782
0KDMANEL,0.13333,0.33884,0.32938
0KDMANEL,0.10667,0.28936,0.31818
0KDMANEL,0.13333,0.24978,0.26877
0KDMANEL,0.1,0.27189,0.26176
0KDMANEL,0.10667,0.34205,0.34545
0KDMANEL,0.11667,0.32542,0.31258
0KDMANEL,0.125,0.33205,0.30303
0KDMANEL,0.15833,0.24444,0.16162
0KDMANEL,0.10714,0.31176,0.3017
0KDMANEL,0.13148,0.32778,0.2986
0KDMANEL,0.14167,0.23816,0.26573
0KDMANEL,0.094444,0.2801,0.25505
0KDMANEL,0.15641,0.33473,0.33586
0KDMANEL,0.12778,0.33925,0.35354
0KDMANEL,0.10667,0.37955,0.35682
0KDMANEL,0.11852,0.31405,0.32159
0KDMANEL,0.13333,0.33174,0.37879
0KDMANEL,0.10667,0.36918,0.37995
0KDMANEL,0.125,0.3359,0.3157
0KDMANEL,0.12917,0.33584,0.31515
0KDMANEL,0.1303,0.35678,0.32078
0KDMANEL,0.1381,0.34455,0.34249
0KDMANEL,0.12353,0.34352,0.30076
